episode,reward,length,crashed
0,29.945795565647508,30,0
1,10.7542272280786,12,1
2,3.9590471683324666,5,1
3,3.560246286141126,5,1
4,24.217419138980645,30,0
5,17.951347655672286,19,1
6,14.193947572983259,15,1
7,10.719856590583197,12,1
8,13.670226291956546,15,1
9,14.957161889064125,16,1
10,6.987589518303685,8,1
11,6.957162800132125,8,1
12,14.953485483135566,16,1
13,5.756066748709668,7,1
14,12.239129785677338,15,1
15,7.9590122436400925,9,1
16,17.551108176158063,19,1
17,7.9590122436400925,9,1
18,16.755041794178723,19,1
19,24.49405818098496,30,1
20,29.54716831157368,30,0
21,18.98010380686137,24,1
22,13.583994618245978,15,1
23,7.673091954703545,9,1
24,10.273502414589847,11,1
25,9.654535648888826,11,1
26,27.168597438454736,30,0
27,27.164944800903537,30,0
28,2.957376534134098,4,1
29,25.54716469259791,27,1
30,9.121965469811098,11,1
31,11.957181872834827,14,1
32,3.560645290765555,5,1
33,5.197649350608877,6,1
34,5.953482026131685,7,1
35,24.951634662803244,26,1
36,15.586017148408427,17,1
37,25.767436536011807,30,0
38,17.14940428403472,19,1
39,29.350949773484665,30,0
40,25.345536278091707,27,1
41,6.360220646618985,8,1
42,20.693181818181827,30,0
43,25.05709225626161,30,0
44,5.75620040342354,7,1
45,25.662392038341224,30,0
46,11.126852343439218,13,1
47,17.36682173038415,21,1
48,7.985751357010479,9,1
49,8.55457793799768,10,1
