episode,global_step,episode_reward,episode_length,epsilon,mean_loss,crashed
0,29,19.9356425633497,29,0.999655625,nan,1
1,59,21.489934764537672,30,0.999299375,nan,0
2,64,3.0852272727272725,5,0.99924,nan,1
3,68,2.280025221957635,4,0.9991925,nan,1
4,72,2.3985653663433473,4,0.999145,nan,1
5,78,5.074265354484131,6,0.99907375,nan,1
6,95,14.604723903846182,17,0.998871875,nan,1
7,125,22.92109631927685,30,0.998515625,nan,0
8,153,20.15423287410655,28,0.998183125,nan,1
9,161,6.873529019558765,8,0.998088125,nan,1
10,181,14.177167625374157,20,0.997850625,nan,1
11,190,6.141985395859812,9,0.99774375,nan,1
12,199,7.9516072526058155,9,0.997636875,nan,1
13,204,3.9590471683324666,5,0.9975775,nan,1
14,214,6.586417114326059,10,0.99745875,nan,1
15,219,3.598889412854372,5,0.997399375,nan,1
16,226,5.651015767255235,7,0.99731625,nan,1
17,230,2.9592167598122607,4,0.99726875,nan,1
18,233,1.6504335734670714,3,0.997233125,nan,1
19,257,16.6047207555308,24,0.996948125,nan,1
20,266,6.5994435529778155,9,0.99684125,nan,1
21,276,8.358337136182145,10,0.9967225,nan,1
22,283,5.874980948896918,7,0.996639375,nan,1
23,297,11.051586174959912,14,0.996473125,nan,1
24,326,22.694686777383613,29,0.99612875,nan,1
25,331,3.9571975996624404,5,0.996069375,nan,1
26,337,3.89934434146901,6,0.995998125,nan,1
27,347,7.605712499580912,10,0.995879375,nan,1
28,353,4.756112614600217,6,0.995808125,nan,1
29,357,2.7943365791981405,4,0.995760625,nan,1
30,363,3.494427009391895,6,0.995689375,nan,1
31,371,6.519857281905374,8,0.995594375,nan,1
32,380,6.141188970615816,9,0.9954875,nan,1
33,389,6.567294899891316,9,0.995380625,nan,1
34,394,3.9964983376010066,5,0.99532125,nan,1
35,415,14.909579863274132,21,0.995071875,nan,1
36,425,6.829045163714075,10,0.994953125,nan,1
37,455,21.715264822324745,30,0.994596875,nan,1
38,464,7.756069350271901,9,0.99449,nan,1
39,475,8.789680299037133,11,0.994359375,nan,1
40,486,9.152211315004081,11,0.99422875,nan,1
41,500,9.45936824858818,14,0.9940625,nan,1
42,516,11.412474603804986,16,0.9938725,nan,1
43,524,6.161526571405465,8,0.9937775,nan,1
44,554,23.663463057287746,30,0.99342125,nan,0
45,564,8.392726403577063,10,0.9933025,nan,1
46,566,1.1211282096181674,2,0.99327875,nan,1
47,582,12.050156418653188,16,0.99308875,nan,1
48,594,10.35042178459405,12,0.99294625,nan,1
49,624,21.716325269443324,30,0.99259,nan,0
50,630,3.5261905876079016,6,0.99251875,nan,1
51,660,23.593224942561775,30,0.9921625,nan,0
52,674,9.766875357374744,14,0.99199625,nan,1
53,689,13.47889478909356,15,0.991818125,nan,1
54,702,11.195576801543831,13,0.99166375,nan,1
55,725,16.818597044006676,23,0.991390625,nan,1
56,731,4.472545597856598,6,0.991319375,nan,1
57,740,7.514757712569362,9,0.9912125,nan,1
58,745,3.3172291155748757,5,0.991153125,nan,1
59,752,4.683047701026338,7,0.99107,nan,1
60,764,10.001198147779483,12,0.9909275,nan,1
61,782,14.41848111062499,18,0.99071375,nan,1
62,789,5.356298604254958,7,0.990630625,nan,1
63,793,2.566053658965085,4,0.990583125,nan,1
64,802,7.792282474889904,9,0.99047625,nan,1
65,808,4.559253874462416,6,0.990405,nan,1
66,812,2.566053658965085,4,0.9903575,nan,1
67,816,2.0454545454545454,4,0.99031,nan,1
68,832,10.863974051822765,16,0.99012,nan,1
69,862,21.8953316255554,30,0.98976375,nan,0
70,871,7.7584724500835,9,0.989656875,nan,1
71,892,18.231782632742405,21,0.9894075,nan,1
72,907,11.092100093177555,15,0.989229375,nan,1
73,914,5.756090615959968,7,0.98914625,nan,1
74,944,23.738092851221037,30,0.98879,nan,0
75,947,1.9583725634928275,3,0.988754375,nan,1
76,949,0.9660165442504834,2,0.988730625,nan,1
77,958,6.995593256252831,9,0.98862375,nan,1
78,988,22.756583951496342,30,0.9882675,nan,0
79,1018,22.665500570107113,30,0.98791125,nan,1
80,1035,13.020735988445908,17,0.987709375,nan,1
81,1038,1.9974614042085133,3,0.98767375,nan,1
82,1049,8.805497237579095,11,0.987543125,nan,1
83,1054,3.9590471683324666,5,0.98748375,nan,1
84,1072,13.099782817136102,18,0.98727,nan,1
85,1102,22.6873843519783,30,0.98691375,nan,0
86,1106,2.3989825583753617,4,0.9868662500000001,nan,1
87,1117,8.016877448697368,11,0.986735625,nan,1
88,1127,6.832812314396215,10,0.986616875,nan,1
89,1130,1.9602091714909529,3,0.98658125,nan,1
90,1135,3.790727416038416,5,0.986521875,nan,1
91,1158,20.800682515156115,23,0.98624875,nan,1
92,1178,14.184718872027789,20,0.98601125,nan,1
93,1189,8.80438181302168,11,0.985880625,nan,1
94,1205,13.000021513870168,16,0.985690625,nan,1
95,1218,9.407710755977947,13,0.98553625,nan,1
96,1223,3.758507393455113,5,0.985476875,nan,1
97,1249,19.380696922269674,26,0.985168125,nan,1
98,1258,7.16175182286306,9,0.98506125,nan,1
99,1288,21.33979729791706,30,0.984705,nan,0
100,1303,10.445229804762146,15,0.984526875,nan,1
101,1315,9.29798296116633,12,0.984384375,nan,1
102,1318,1.9602091714909529,3,0.98434875,nan,1
103,1331,10.796118881376128,13,0.984194375,nan,1
104,1342,8.991622591057842,11,0.98406375,nan,1
105,1346,2.2559148261009225,4,0.98401625,nan,1
106,1359,11.160983601945626,13,0.983861875,nan,1
107,1368,6.014056758347738,9,0.983755,nan,1
108,1372,2.7591154181621453,4,0.9837075,nan,1
109,1386,10.849883511526725,14,0.98354125,nan,1
110,1391,3.363477776117178,5,0.983481875,nan,1
111,1414,16.4175473539515,23,0.98320875,nan,1
112,1420,3.773014960787978,6,0.9831375,nan,1
113,1432,8.922602018487598,12,0.982995,nan,1
114,1451,14.412585185613953,19,0.982769375,nan,1
115,1460,5.9295825392499815,9,0.9826625,nan,1
116,1470,7.007155993610953,10,0.98254375,nan,1
117,1475,3.56248189876368,5,0.982484375,nan,1
118,1490,10.665011591172043,15,0.98230625,nan,1
119,1516,17.96234919572198,26,0.9819975,nan,1
120,1531,10.8955020497896,15,0.981819375,nan,1
121,1550,15.52205408929729,19,0.98159375,nan,1
122,1557,5.202275359976281,7,0.981510625,nan,1
123,1570,11.356747602572527,13,0.98135625,nan,1
124,1575,3.591703225593266,5,0.981296875,nan,1
125,1587,8.350850255135162,12,0.981154375,nan,1
126,1601,11.556714402055073,14,0.980988125,nan,1
127,1607,4.559253874462416,6,0.980916875,nan,1
128,1612,3.1996822059699626,5,0.9808575,nan,1
129,1616,2.5660591737676812,4,0.98081,nan,1
130,1619,1.6000542239715385,3,0.980774375,nan,1
131,1623,2.9573710298187494,4,0.980726875,nan,1
132,1638,10.333038676830675,15,0.98054875,nan,1
133,1665,22.623236051869707,27,0.980228125,nan,1
134,1681,14.35344461077078,16,0.980038125,nan,1
135,1688,5.162519013413854,7,0.979955,nan,1
136,1692,2.7943365791981405,4,0.9799075,nan,1
137,1695,1.9602091714909529,3,0.979871875,nan,1
138,1707,8.269080545649983,12,0.979729375,nan,1
139,1724,12.522671940930538,17,0.9795275,nan,1
140,1754,21.37184719374356,30,0.97917125,nan,0
141,1766,10.18610660210083,12,0.97902875,nan,1
142,1774,5.226772487120488,8,0.97893375,nan,1
143,1796,19.60500916734575,22,0.9786725000000001,nan,1
144,1809,8.386471090426781,13,0.978518125,nan,1
145,1817,5.249999999999999,8,0.978423125,nan,1
146,1847,22.662633140755805,30,0.978066875,nan,0
147,1877,23.62854378232419,30,0.977710625,nan,0
148,1906,22.020635560415315,29,0.97736625,nan,1
149,1914,6.4005361398277945,8,0.97727125,nan,1
150,1917,1.9602091714909529,3,0.977235625,nan,1
151,1947,23.02378765731822,30,0.976879375,nan,0
152,1959,9.47106837373851,12,0.976736875,nan,1
153,1970,9.163558689145175,11,0.97660625,nan,1
154,1984,10.6089310891926,14,0.97644,nan,1
155,2014,21.44413281433476,30,0.97608375,nan,0
156,2042,21.497087775374425,28,0.97575125,nan,1
157,2053,7.537649182780619,11,0.975620625,nan,1
158,2083,22.898682331279637,30,0.975264375,nan,0
159,2099,11.065883662680555,16,0.975074375,nan,1
160,2107,6.955049221974475,8,0.974979375,nan,1
161,2110,1.9602091714909529,3,0.97494375,nan,1
162,2112,0.9660165442504834,2,0.97492,nan,1
163,2142,21.79026402621617,30,0.97456375,nan,0
164,2147,3.9550916435570764,5,0.974504375,nan,1
165,2152,3.7923133856000804,5,0.974445,nan,1
166,2171,12.677968529854589,19,0.974219375,nan,1
167,2189,16.551667030687465,18,0.974005625,nan,1
168,2219,20.690963314880637,30,0.973649375,nan,0
169,2233,12.587612225545248,14,0.973483125,nan,1
170,2249,12.88677146045793,16,0.973293125,nan,1
171,2275,17.653716143740137,26,0.972984375,nan,1
172,2291,11.847185320968375,16,0.972794375,nan,1
173,2296,3.761175943647523,5,0.972735,nan,1
174,2316,14.267164699422386,20,0.9724975,nan,1
175,2321,3.395366105481301,5,0.972438125,nan,1
