episode,reward,length,crashed
0,11.47521971012019,13,1
1,14.362427248243796,16,1
2,16.951610415681913,18,1
3,19.961294985840894,23,1
4,7.5557473464596825,9,1
5,11.380789271523208,15,1
6,19.890241898878774,24,1
7,8.676647751982982,10,1
8,6.052267516306772,7,1
9,11.968175161743247,15,1
10,25.35992370363866,27,1
11,14.95716190869583,16,1
12,8.520885265027703,10,1
13,10.157206627157302,12,1
14,12.955323628981448,14,1
15,20.957171296993174,22,1
16,26.569749794638998,30,0
17,11.951636975225508,13,1
18,29.947631167261633,30,0
19,8.75643593213761,10,1
20,3.9572063683176055,5,1
21,8.04400427392504,9,1
22,27.3573030888738,30,1
23,25.21868729710012,30,0
24,5.9571636464636555,7,1
25,11.121555807593705,12,1
26,26.9974841692432,30,0
27,7.9590122436400925,9,1
28,16.959012213830793,18,1
29,16.153505827515797,18,1
30,10.953209672440678,12,1
31,26.53383699407404,30,0
32,15.046697492311225,16,1
33,15.35649061457537,17,1
34,13.352538451756333,15,1
35,25.53672732811262,29,1
36,5.959013234599721,7,1
37,25.97966028514661,27,1
38,28.953341292979413,30,0
39,7.9590122436400925,9,1
40,7.555360895554796,9,1
41,24.953197212060374,26,1
42,12.554410078008747,14,1
43,10.98504272774535,14,1
44,10.720954857795398,12,1
45,18.938800080257327,25,1
46,6.957162188088722,8,1
47,10.009767163276209,12,1
48,8.959012218924851,10,1
49,19.577640555375275,21,1
