episode,reward,length,crashed
0,20.573863636363644,30,0
1,21.444402052925092,30,0
2,20.454545454545464,30,0
3,4.361388145434872,6,1
4,20.693181818181827,30,0
5,21.331294234385428,30,0
6,20.81250000000001,30,0
7,20.454545454545464,30,0
8,20.571645133062454,30,0
9,20.454545454545464,30,0
10,21.017152932602098,30,0
11,20.81250000000001,30,0
12,9.664772727272727,15,1
13,22.611320741129678,30,0
14,20.454545454545464,30,0
15,21.289772727272737,30,0
16,20.688338093616082,30,0
17,21.404227562754564,30,0
18,20.454545454545464,30,0
19,20.782088359235377,30,0
20,20.571645133062454,30,0
21,20.454545454545464,30,0
22,21.289772727272737,30,0
23,20.688338093616082,30,0
24,20.571645133062454,30,0
25,20.688338093616082,30,0
26,20.454545454545464,30,0
27,21.396446650804428,30,0
28,20.693181818181827,30,0
29,21.287537084319883,30,0
30,21.170454545454554,30,0
31,20.81250000000001,30,0
32,22.512678124305474,30,0
33,20.688338093616082,30,0
34,21.554705826920078,30,0
35,20.454545454545464,30,0
36,20.571645133062454,30,0
37,20.92695483591756,30,0
38,20.571645133062454,30,0
39,20.454545454545464,30,0
40,2.1625542239715383,4,1
41,21.437206873638594,30,0
42,20.93181818181819,30,0
43,20.454545454545464,30,0
44,21.051136363636374,30,0
45,20.571645133062454,30,0
46,20.573863636363644,30,0
47,20.689116131048554,30,0
48,20.693181818181827,30,0
49,20.454545454545464,30,0
