episode,reward,length,crashed
0,4.001601302190288,6,1
1,23.794257587943164,30,0
2,23.775923205794772,30,0
3,20.571645133062454,30,0
4,23.786538001048267,30,0
5,12.017045454545451,16,1
6,8.059530593057582,11,1
7,22.480718902501703,30,0
8,20.924010110162946,30,0
9,21.28490938093638,30,0
10,22.35541919029112,30,0
11,22.833390475377794,30,0
12,9.604692501677183,13,1
13,20.571645133062454,30,0
14,20.454545454545464,30,0
15,24.034090909090903,30,0
16,22.59253560844024,30,0
17,23.37308003741058,30,0
18,27.9604855261615,30,0
19,27.36205535500682,30,0
20,22.464181819143807,30,0
21,20.454545454545464,30,0
22,24.894495441022453,30,0
23,22.005681818181827,30,0
24,20.689116131048554,30,0
25,17.00951706178305,21,1
26,9.164127889577394,12,1
27,8.356500922507577,10,1
28,20.688338093616082,30,0
29,8.351473214262072,10,1
30,20.80583378132725,30,0
31,24.93979878044639,30,0
32,24.03185526613805,30,0
33,9.608773017300006,13,1
34,20.571645133062454,30,0
35,6.404227562754552,9,1
36,20.80583378132725,30,0
37,24.034090909090903,30,0
38,20.9466278198439,27,1
39,20.80583378132725,30,0
40,24.943795744916333,30,0
41,24.268620097426265,30,0
42,22.480718902501703,30,0
43,21.166374029461583,30,0
44,23.31594617522897,30,0
45,23.905046132360876,30,0
46,20.571645133062454,30,0
47,21.872719859523063,30,0
48,11.208390475377778,15,1
49,9.766590227806297,13,1
