episode,reward,length,crashed
0,24.026572293559592,30,0
1,21.404227562754564,30,0
2,23.072026839014153,30,0
3,5.600435929923242,8,1
4,20.571645133062454,30,0
5,21.647727272727284,30,0
6,26.336794338469964,30,0
7,20.689116131048554,30,0
8,23.940646680818627,30,0
9,21.28490938093638,30,0
10,20.571645133062454,30,0
11,20.571645133062454,30,0
12,20.571645133062454,30,0
13,11.761992101768344,15,1
14,20.690963314880637,30,0
15,7.992748720453378,10,1
16,5.6012738346025674,8,1
17,21.526173447956246,30,0
18,23.437500000000004,30,0
19,25.489845010910813,30,0
20,24.383478996249032,30,0
21,21.1682189025017,30,0
22,23.699625508875368,30,0
23,7.197876998691507,10,1
24,19.185008280169587,21,1
25,22.591889103530285,27,1
26,21.519061977898183,30,0
27,24.034090909090903,30,0
28,12.756194176249814,14,1
29,20.571645133062454,30,0
30,20.688338093616082,30,0
31,23.437295459112608,30,0
32,23.43526435704715,30,0
33,24.216203104899517,30,0
34,20.571645133062454,30,0
35,20.689116131048554,30,0
36,7.210227272727271,10,1
37,10.41253708431987,14,1
38,22.239454835481837,30,0
39,7.153476727311083,9,1
40,23.194000290027287,30,0
41,23.318181818181824,30,0
42,23.613461980073385,30,1
43,20.689116131048554,30,0
44,14.5511285153162,16,1
45,21.523545744572747,30,0
46,22.602272727272737,30,0
47,24.419675191579664,30,0
48,24.49081670420157,30,0
49,22.597409380936384,30,0
