episode,reward,length,crashed
0,21.839592551984314,30,0
1,21.214603751781127,30,0
2,20.454545454545464,30,0
3,20.571645133062454,30,0
4,20.688338093616082,30,0
5,20.571645133062454,30,0
6,20.92695483591756,30,0
7,20.965964007763453,30,0
8,21.762276684721922,30,0
9,20.693181818181827,30,0
10,20.454545454545464,30,0
11,21.048900720683527,30,0
12,21.287537084319883,30,0
13,7.205363926390915,10,1
14,20.571645133062454,30,0
15,21.170454545454554,30,0
16,20.454545454545464,30,0
17,21.051136363636374,30,0
18,20.690946261312185,30,0
19,20.929582538866992,30,0
20,20.571645133062454,30,0
21,20.454545454545464,30,0
22,20.690946261312185,30,0
23,20.80500117567249,30,0
24,20.77171675981227,30,0
25,21.048900720683527,30,0
26,20.690946261312185,30,0
27,20.571645133062454,30,0
28,20.454545454545464,30,0
29,20.656984811675272,30,0
30,20.571645133062454,30,0
31,21.16293592992513,30,0
32,2.1625542239715383,4,1
33,8.897727272727272,13,1
34,20.573863636363644,30,0
35,20.454545454545464,30,0
36,20.690946261312185,30,0
37,22.547355810181433,30,0
38,20.690946261312185,30,0
39,21.04627301730189,30,0
40,20.454545454545464,30,0
41,20.690946261312185,30,0
42,10.582991630159071,16,1
43,20.688338093616082,30,0
44,20.454545454545464,30,0
45,20.807636751424518,30,0
46,20.81026435743181,30,0
47,21.31306912082803,30,0
48,20.454545454545464,30,0
49,20.80500117567249,30,0
