episode,reward,length,crashed
0,24.065008981206404,30,0
1,13.363023787819191,16,1
2,2.277398577994079,3,1
3,23.347011950057276,25,1
4,18.00425816045647,21,1
5,10.552748764910856,12,1
6,24.066859305969384,30,0
7,7.052262927382185,8,1
8,17.955058742429316,20,1
9,15.795569431528376,17,1
10,15.955333010222864,17,1
11,5.989439815306069,7,1
12,8.358337136182145,10,1
13,17.16110591570119,20,1
14,9.808517874654635,12,1
15,7.9590122436400925,9,1
16,5.158073750434648,7,1
17,8.650433273146604,10,1
18,25.98888186306621,28,1
19,8.911489208227477,11,1
20,8.275353120286042,9,1
21,10.35397344566597,12,1
22,10.95716190884756,12,1
23,15.156276839086015,18,1
24,24.58484899498539,30,0
25,22.828337412463043,30,0
26,7.674252928034285,9,1
27,25.16984978906588,30,0
28,20.45988494307955,23,1
29,2.9592167598122607,4,1
30,4.955334021795722,6,1
31,26.804359805315016,30,0
32,15.35872079942969,17,1
33,5.603091199118189,8,1
34,24.749423521442708,30,0
35,4.987566384573997,6,1
36,5.561319895605194,7,1
37,21.76577816962764,25,1
38,2.5873703868273883,4,1
39,5.195803601949451,6,1
40,26.48985387821316,30,0
41,21.811466946646785,26,1
42,2.9573710298187494,4,1
43,5.955305517483177,7,1
44,11.959012213856212,13,1
45,19.806371246003906,23,1
46,25.436834268726887,30,0
47,22.55838038033354,30,0
48,14.794132033216798,16,1
49,4.9555893528467045,6,1
