episode,reward,length,crashed
0,21.759526839014153,30,0
1,21.170454545454554,30,0
2,21.051136363636374,30,0
3,20.454545454545464,30,0
4,8.330363926390916,12,1
5,20.80500117567249,30,0
6,20.571645133062454,30,0
7,21.356446873601946,30,0
8,20.454545454545464,30,0
9,20.690946261312185,30,0
10,20.693181818181827,30,0
11,21.5284090909091,30,0
12,21.336680506584663,30,0
13,20.571645133062454,30,0
14,20.693181818181827,30,0
15,20.571645133062454,30,0
16,20.454545454545464,30,0
17,20.690946261312185,30,0
18,20.571645133062454,30,0
19,13.42333281027341,20,1
20,20.81026435743181,30,0
21,20.571645133062454,30,0
22,21.329527381526177,30,0
23,21.650413820074462,30,0
24,21.1682189025017,30,0
25,21.409090909090917,30,0
26,21.12263883275404,30,0
27,20.93181818181819,30,0
28,21.409090909090917,30,0
29,20.571645133062454,30,0
30,20.454545454545464,30,0
31,20.690946261312185,30,0
32,20.780258071441743,30,0
33,20.690946261312185,30,0
34,20.571645133062454,30,0
35,21.287537084319883,30,0
36,20.454545454545464,30,0
37,20.454545454545464,30,0
38,20.571645133062454,30,0
39,22.091045525439082,30,0
40,20.690946261312185,30,0
41,22.80482924461553,30,0
42,21.20342748828906,30,0
43,20.688338093616082,30,0
44,20.65700884031952,30,0
45,20.929582538866992,30,0
46,20.454545454545464,30,0
47,20.81026435743181,30,0
48,21.142278462464567,30,0
49,21.437206873638594,30,0
