episode,global_step,episode_reward,episode_length,epsilon,mean_loss,crashed
0,50030,21.72626221245845,30,0.40589375000000005,nan,0
1,50039,6.791053220695132,9,0.4057868750000001,nan,1
2,50057,13.257128699998367,18,0.405573125,nan,1
3,50070,10.806613640930774,13,0.40541875000000005,nan,1
4,50080,8.546420823772712,10,0.4053,nan,1
5,50110,22.894974741697517,30,0.40494375000000005,nan,1
6,50122,10.164748677587324,12,0.40480125,nan,1
7,50152,20.571645133062454,30,0.40444500000000005,1.281447376523699,0
8,50166,10.407254111741414,14,0.40427875,1.468461036682129,1
9,50196,21.287124868690345,30,0.4039225000000001,1.10451390594244,0
10,50226,22.27026338835884,30,0.40356625,1.4158034665243966,0
11,50256,22.484516915739718,30,0.40321000000000007,1.5280983746051788,0
12,50280,18.846625253922767,24,0.4029250000000001,1.158138021826744,1
13,50310,22.73070462334244,30,0.40256875000000003,1.4902044194085258,0
14,50312,0.9660165442504834,2,0.40254500000000004,1.7442433834075928,1
15,50342,23.30689211905344,30,0.40218875,1.308259299823216,0
16,50347,3.7923212284615007,5,0.402129375,1.4167397022247314,1
17,50377,21.722804261677343,30,0.40177312500000006,1.2781469374895096,0
18,50407,22.479291214111246,30,0.401416875,1.2350064516067505,0
19,50432,17.79711557468947,25,0.40112000000000003,1.3600010446139745,1
20,50459,19.67652344795847,27,0.40079937500000007,1.4889018336931865,1
21,50479,18.555374681150244,20,0.40056187499999996,1.1605519771575927,1
22,50509,22.526203500428657,30,0.400205625,0.9330983310937881,0
23,50517,6.3602206164278074,8,0.40011062499999994,1.532116413116455,1
24,50522,3.323863636363636,5,0.4000512500000001,1.1703215837478638,1
25,50545,21.9513344513375,23,0.399778125,1.413068691889445,1
26,50556,8.9974407664667,11,0.39964750000000004,1.4074616432189941,1
27,50586,22.869051860326703,30,0.39929125,1.2710159591266088,0
28,50591,3.764141156259206,5,0.399231875,1.0002480745315552,1
29,50621,24.68482139157201,30,0.39887562500000007,1.2918884679675102,0
30,50651,23.268834636703208,30,0.398519375,1.2369481325149536,0
31,50663,10.752219863831295,12,0.3983768750000001,1.37371822198232,1
32,50693,24.373445530963952,30,0.398020625,1.0715521574020386,0
33,50723,21.928607188444786,30,0.39766437499999996,1.465214627129691,0
34,50730,5.959013234599721,7,0.39758125,1.3252804279327393,1
35,50760,24.413938794136378,30,0.39722500000000005,1.2479351162910461,0
36,50777,12.064439972515434,17,0.39702312500000003,1.5716428458690643,1
37,50787,8.951087928388034,10,0.396904375,1.3024523258209229,1
38,50817,22.949079547569877,30,0.39654812500000003,1.489231526851654,0
39,50847,24.22359318813744,30,0.3961918750000001,1.3490962811878748,1
40,50860,8.934992084927176,13,0.39603750000000004,1.264272317290306,1
41,50890,24.21557586555218,30,0.39568125,1.0331208748476846,0
42,50897,5.1663166255925805,7,0.395598125,1.475063681602478,1
43,50922,21.986633316734572,25,0.39530125000000005,1.6959346135457356,1
44,50942,16.837021171346947,20,0.39506375000000005,1.5025165796279907,1
45,50949,4.96946271947945,7,0.3949806250000001,1.820497751235962,1
46,50979,22.40011960183898,30,0.394624375,1.5561804345675878,0
47,50990,9.587464272359917,11,0.39449375,1.6477615435918171,1
48,51010,17.644679979107647,20,0.3942562500000001,1.3856143951416016,1
49,51027,13.614944486568302,17,0.39405437500000007,1.4349315464496613,1
50,51049,20.739835979386413,22,0.3937931250000001,1.4160428245862324,1
51,51058,6.268340918914764,9,0.39368625,1.5118547677993774,1
52,51088,23.71064217155866,30,0.39333000000000007,1.2578460797667503,0
53,51094,4.672290943960022,6,0.39325875,0.9705195426940918,1
54,51104,8.918344622131233,10,0.39314000000000004,1.0052315791447957,1
55,51116,10.786211803153073,12,0.3929975,1.7810216347376506,1
56,51130,12.754218312548113,14,0.39283124999999997,1.7528831164042156,1
57,51147,14.794979621454068,17,0.39262937500000006,1.6605950891971588,1
58,51177,23.49897410487379,30,0.392273125,1.149785578250885,0
59,51207,23.026686948860572,30,0.39191687500000005,1.5670129231044225,0
60,51226,16.994554055052866,19,0.39169125000000005,1.6219783544540405,1
61,51239,8.728580094114413,13,0.391536875,1.253011663754781,1
62,51263,19.169628066681188,24,0.391251875,1.4079229533672333,1
63,51274,9.426553271760605,11,0.3911212500000001,1.5154542128245037,1
