episode,reward,length,crashed
0,21.886363636363647,30,0
1,23.671682217382322,30,0
2,24.026572293559592,30,0
3,24.023320059473313,30,0
4,22.353901896356003,30,0
5,20.689116131048554,30,0
6,23.599662719048503,30,0
7,23.534403635242647,30,0
8,7.207991629774417,10,1
9,14.887285688636023,19,1
10,20.571645133062454,30,0
11,13.379617361996369,15,1
12,20.689116131048554,30,0
13,5.725037084319872,8,1
14,20.571645133062454,30,0
15,8.86786810715634,11,1
16,20.571645133062454,30,0
17,8.392329163841673,10,1
18,23.387056553631393,30,0
19,12.811099968544271,17,1
20,9.756915871455643,13,1
21,20.571645133062454,30,0
22,24.027009059453356,30,0
23,21.886363636363647,30,0
24,20.689116131048554,30,0
25,22.000818471845474,30,0
26,8.683847654152755,12,1
27,21.886363636363647,30,0
28,23.470149695346574,30,0
29,21.55386984474455,30,0
30,21.647727272727284,30,0
31,20.571645133062454,30,0
32,22.714509059453377,30,0
33,20.80583378132725,30,0
34,13.276967637552945,16,1
35,20.689116131048554,30,0
36,20.571645133062454,30,0
37,9.403939571165568,12,1
38,20.454545454545464,30,0
39,23.26740990793512,30,0
40,24.423571556177695,30,0
41,22.000818471845474,30,0
42,12.898545744572733,18,1
43,20.571645133062454,30,0
44,22.953147775523316,30,0
45,7.327309811592599,10,1
46,12.837489555242781,16,1
47,24.14894006770668,30,0
48,24.026572293559592,30,0
49,10.401160573535067,13,1
