episode,global_step,episode_reward,episode_length,epsilon,mean_loss,crashed
0,7,5.193665180542367,7,0.999916875,nan,1
1,13,3.7291878685264623,6,0.999845625,nan,1
2,35,15.716171201497513,22,0.999584375,nan,1
3,42,5.9537186689723285,7,0.99950125,nan,1
4,46,2.2510998650200844,4,0.99945375,nan,1
5,57,7.415047377271146,11,0.999323125,nan,1
6,59,1.1985551664893401,2,0.999299375,nan,1
7,62,1.9602091714909529,3,0.99926375,nan,1
8,66,2.3993286500746023,4,0.99921625,nan,1
9,96,21.81587510258334,30,0.99886,nan,0
10,126,24.54142015847572,30,0.99850375,nan,0
11,131,3.1952257573120324,5,0.998444375,nan,1
12,134,1.6000371704030871,3,0.99840875,nan,1
13,142,6.5573618233404005,8,0.99831375,nan,1
14,146,2.5660591737676812,4,0.99826625,nan,1
15,156,7.990665145694396,10,0.9981475,nan,1
16,179,16.15690958242075,23,0.997874375,nan,1
17,184,3.5914050701063145,5,0.997815,nan,1
18,214,20.97511019592067,30,0.99745875,nan,0
19,217,1.9583725634928275,3,0.997423125,nan,1
20,222,3.4024166792303987,5,0.99736375,nan,1
21,227,2.9329180468382665,5,0.997304375,nan,1
22,244,12.527507027059821,17,0.9971025,nan,1
23,254,6.858054941467969,10,0.99698375,nan,1
24,262,6.951905410838071,8,0.99688875,nan,1
25,292,23.979070882347298,30,0.9965325,nan,0
26,295,1.9602091714909529,3,0.996496875,nan,1
27,324,20.629415389121014,29,0.9961525,nan,1
28,327,1.7953289908768333,3,0.996116875,nan,1
29,336,7.159504820824822,9,0.99601,nan,1
30,339,1.9194621337758533,3,0.995974375,nan,1
31,343,2.957376534134098,4,0.995926875,nan,1
32,348,3.202326951244266,5,0.9958675,nan,1
33,354,4.5553262556970475,6,0.99579625,nan,1
34,357,1.9602091714909529,3,0.995760625,nan,1
35,366,6.9582084711266,9,0.99565375,nan,1
36,370,2.396747833339994,4,0.99560625,nan,1
37,377,5.007379884333251,7,0.995523125,nan,1
38,396,15.564654169417542,19,0.9952975,nan,1
39,410,9.454289576599585,14,0.99513125,nan,1
40,414,2.9552714163121765,4,0.99508375,nan,1
41,421,4.5329552163324065,7,0.995000625,nan,1
42,426,3.200102027666586,5,0.99494125,nan,1
43,452,19.753048906459917,26,0.9946325,nan,1
44,458,3.611671974388786,6,0.99456125,nan,1
45,486,19.801454354153233,28,0.99422875,nan,1
46,504,15.005180508461452,18,0.994015,nan,1
47,523,13.496955167565945,19,0.993789375,nan,1
48,528,3.885309086546542,5,0.99373,nan,1
49,538,7.239114915693936,10,0.99361125,nan,1
50,543,3.397966641970814,5,0.993551875,nan,1
51,556,10.364663466709498,13,0.9933975,nan,1
52,560,2.3985653663433473,4,0.99335,nan,1
53,563,1.602272727272727,3,0.993314375,nan,1
54,575,10.651011543016704,12,0.993171875,nan,1
55,584,6.446679753393776,9,0.993065,nan,1
56,604,14.179796664629173,20,0.9928275,nan,1
57,609,3.9572063683176055,5,0.992768125,nan,1
58,623,11.805322801326222,14,0.992601875,nan,1
